CGNDB ID,Geographical Name,ISO Language Code,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
IASNO,16 1/2 Mile Lake,und,Undetermined,,Lake,Water Feature,LAKE,96b3b559c6cb11d892e2080020a0f4c9,52.7086111,-117.9111111,,Alberta,50000,2002-09-21,AB-Ministry of Culture and Status of Women
IASKY,3 Channels Area,und,Undetermined,,Channel,Water Feature,RIV,0cadee42849c20c3720fa00943b2bd5d,56.7513889,-110.5250000,26-89-4-W4,Alberta,50000,1991-09-04,AB-Ministry of Culture and Status of Women
IASLL,49 Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cadf192849c20c37fc96b661f70d643,56.3050000,-110.8905556,"21,28-84-6-W4",Alberta,50000,1991-09-04,AB-Ministry of Culture and Status of Women
IASLJ,51 Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cadf110849c20c379b76a56fd1654d6,56.3138889,-110.9436111,30-84-6-W4,Alberta,50000,1991-09-04,AB-Ministry of Culture and Status of Women
IASLM,54 Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cadf1d3849c20c337cb903525c1ad2c,56.3522222,-110.9894444,2-11-85-7-W4,Alberta,50000,1991-09-04,AB-Ministry of Culture and Status of Women
IASLK,55 Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cadf150849c20c317a686a4a08e391a,56.3661111,-110.9938889,14-85-7-W4,Alberta,50000,1991-09-04,AB-Ministry of Culture and Status of Women
IBACK,ɂejere K'elni Kųe 196I,und,Undetermined,,Indian Reserve,Administrative Area,IR,82cc9304ee064ae68d45d70858b0ef59,59.5252780,-111.4761110,,Alberta,50000,2009-12-14,Indigenous Services Canada
IASTP,A-H Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cae0f3a849c20c34e38129276e2a29a,57.7605555,-112.5772222,17-101-16-W4,Alberta,50000,1991-09-23,AB-Ministry of Culture and Status of Women
IAPUY,Abbot Pass,und,Undetermined,,Pass,Terrain Feature,VALL,75133bebba3411d892e2080020a0f4c9,51.3638889,-116.2872222,28-17-W5,Alberta,50000,1952-04-03,AB-Ministry of Culture and Status of Women
IATZR,Abbot Pass Refuge Cabin National Historic Site of Canada,und,Undetermined,,National Historic Site,Administrative Area,PARK,73e3204cba3411d892e2080020a0f4c9,51.3636110,-116.2891700,,Alberta,1000000,2001-01-12,Parks Canada
IAPVA,Abbott Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89a9f1849c20c316cdebb1c251facf,53.9172223,-118.9980556,57-7-W6,Alberta,50000,1947-09-04,AB-Ministry of Culture and Status of Women
IAECP,Abee,und,Undetermined,,Hamlet,Populated Place,UNP,0c841a31849c20c322b15794ef462391,54.2377778,-113.0277778,1-61-21-W4,Alberta,250000,1945-12-08,AB-Ministry of Culture and Status of Women
IAQVM,Aberdeen Glacier,und,Undetermined,,Glacier,Ice and Snow Feature,GLAC,8affa514c6cb11d892e2080020a0f4c9,51.3847223,-116.2430556,,Alberta,50000,1985-01-21,AB-Ministry of Culture and Status of Women
IAPVD,Abilene,und,Undetermined,,Locality,Populated Place,UNP,0cffd6c5849c20c34f5d9ccee4f349ec,54.1083333,-111.4861111,18-59-10-W4,Alberta,250000,1950-07-06,AB-Ministry of Culture and Status of Women
IAECR,Abraham Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c841ad5849c20c30a140ce52972183b,52.2236111,-116.4272222,"37,38-17,18-W5",Alberta,1000000,1975-10-30,AB-Ministry of Culture and Status of Women
IAPVF,Academy,und,Undetermined,,Locality,Populated Place,UNP,0c89aa71849c20c3e1968309eed9bb24,50.8566667,-114.0402778,10-22-1-W5,Alberta,250000,1940-01-19,AB-Ministry of Culture and Status of Women
IAPVH,Acadia,und,Undetermined,,Former Locality,Populated Place,UNP,c1976744c6cd11d892e2080020a0f4c9,51.2000000,-110.4000000,7-26-3-W4,Alberta,50000,1988-12-31,AB-Ministry of Culture and Status of Women
IAPVI,Acadia Valley,und,Undetermined,,Hamlet,Populated Place,UNP,0cffd708849c20c34b9349ffcf334414,51.1569445,-110.2097222,27-25-2-W4,Alberta,1000000,1951-11-01,AB-Ministry of Culture and Status of Women
IAPVJ,Acheson,und,Undetermined,,Locality,Populated Place,UNP,0d0b0db3849c20c3a3597b3ef475dce7,53.5502778,-113.7747222,4-53-26-W4,Alberta,250000,1974-12-31,AB-Ministry of Culture and Status of Women
IAPVO,Acme,und,Undetermined,,Village,Populated Place,VILG,6ba45943d05511d892e2080020a0f4c9,51.4972222,-113.5086111,19-29-25-W4,Alberta,1000000,1995-01-01,AB-Ministry of Culture and Status of Women
IAECS,Adair Creek,und,Undetermined,,Creek,Water Feature,RIV,0c841a93849c20c32688774e296c6168,59.0769444,-117.7330556,116-22-W5,Alberta,250000,1944-11-06,AB-Ministry of Culture and Status of Women
IAPVL,Adair Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89aaf3849c20c319d368c7d92e2025,49.9744444,-114.1566667,"1-12-1,2-W5",Alberta,250000,1941-12-17,AB-Ministry of Culture and Status of Women
IAPVM,Adams Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89aab3849c20c3c27f9c79cc608b0a,53.6911111,-118.5530556,54-4-W6,Alberta,250000,1955-02-02,AB-Ministry of Culture and Status of Women
IAPVN,Adams Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89ab3e849c20c33022045ee8b5323c,55.2138889,-115.3472222,9-72-9-W5,Alberta,250000,1945-12-08,AB-Ministry of Culture and Status of Women
IAPVP,Adams Creek Trail,und,Undetermined,,Trail,Constructed Feature,ROAD,a13588e7d05411d892e2080020a0f4c9,53.8211111,-118.7208333,"54,55-4,5-W6",Alberta,250000,1980-09-10,AB-Ministry of Culture and Status of Women
IBACW,Adams Lake,und,Undetermined,,Lake,Water Feature,LAKE,794f9cfc0a001204176e8e7659e466c6,52.0680556,-114.4847222,"2,3,10-36-4-W5",Alberta,50000,2012-11-19,AB-Ministry of Culture and Status of Women
IAECT,Adams Landing,und,Undetermined,,Locality,Populated Place,UNP,0c841b18849c20c366cf45e7f3efe0c3,58.3894444,-115.0769444,108-7-W5,Alberta,250000,1944-07-12,AB-Ministry of Culture and Status of Women
IAPVQ,Adams Lookout,und,Undetermined,,Lookout,Terrain Feature,MTN,0c89ab81849c20c322eb0da7529e7ce2,53.7258333,-118.5680556,55-4-W6,Alberta,250000,1955-02-02,AB-Ministry of Culture and Status of Women
IAPVR,Adamson Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c89ac04849c20c3dd16e680d56dae09,53.6152778,-112.9258333,53-20-W4,Alberta,250000,1957-08-01,AB-Ministry of Culture and Status of Women
IAPVS,Adelade Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89abc2849c20c33f3b624ddfe3c5f5,54.1313889,-119.3511111,59-10-W6,Alberta,250000,1950-05-04,AB-Ministry of Culture and Status of Women
IAPVT,Aden,und,Undetermined,,Locality,Populated Place,UNP,0c89ac44849c20c35f5c75963a4fc014,49.0247222,-111.2986111,8-1-10-W4,Alberta,250000,1947-03-13,AB-Ministry of Culture and Status of Women
IAPVV,Adolphus Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89ac85849c20c30d6cacae185b4b7d,53.8538889,-119.0633333,56-8-W6,Alberta,50000,1953-03-05,AB-Ministry of Culture and Status of Women
IAPVW,Adolphus Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cffd749849c20c3e75796fadcea6ebd,53.1711111,-119.1177778,48-8-W6,Alberta,50000,1956-08-02,AB-Ministry of Culture and Status of Women
IAPVY,Adrian Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c89acc6849c20c34fa47bd0b51779c8,53.1141667,-113.1458333,48-22-W4,Alberta,250000,1950-05-02,AB-Ministry of Culture and Status of Women
IAQPP,Adskwatim Creek,und,Undetermined,,Creek,Water Feature,RIV,7547925fba3411d892e2080020a0f4c9,57.1852778,-120.0013889,94-13-W6,Alberta,250000,1924-05-06,AB-Ministry of Culture and Status of Women
IAPWA,Aerial,und,Undetermined,,Former Post Office,Populated Place,UNP,c1a1ee95c6cd11d892e2080020a0f4c9,51.4180556,-112.6213889,28-19-W4,Alberta,50000,1988-12-31,AB-Ministry of Culture and Status of Women
IAPWB,Aetna,und,Undetermined,,Hamlet,Populated Place,UNP,0cffd78a849c20c3026757885415b896,49.1338889,-113.2400000,23-2-25-W4,Alberta,250000,1954-07-08,AB-Ministry of Culture and Status of Women
IAPWE,Aetna Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89ad08849c20c36a83f011a04e3892,49.1716666,-113.1930556,31-2-24-W4,Alberta,250000,1942-09-07,AB-Ministry of Culture and Status of Women
IAPWF,African Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c89ad89849c20c310a9795ab7055954,54.4344444,-110.1697222,12-63-2-W4,Alberta,250000,1950-07-06,AB-Ministry of Culture and Status of Women
IAPWG,Afternoon Peak,und,Undetermined,,Peak,Terrain Feature,MTN,0c89ad49849c20c322d4b0642c422c1d,52.2997222,-116.9863889,"38-21,22-W5",Alberta,250000,1935-03-05,AB-Ministry of Culture and Status of Women
IAPWH,Agar Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c89ae0d849c20c3dc107d5efcd13f24,58.2208333,-110.1647222,"106-1,2-W4",Alberta,250000,1954-06-03,AB-Ministry of Culture and Status of Women
IAPWI,Agatha,und,Undetermined,,Locality,Populated Place,UNP,0c89adcb849c20c3a9f0402b24366a8c,50.1483334,-111.3038889,4-14-10-W4,Alberta,50000,1928-12-31,AB-Ministry of Culture and Status of Women
IAPWJ,Aggie,und,Undetermined,,Locality,Populated Place,UNP,0c89ae4d849c20c36c63f0d1dfc31530,55.4513889,-116.6416667,36-74-18-W5,Alberta,50000,1947-09-04,AB-Ministry of Culture and Status of Women
IAPWK,Agnes Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cffd7cd849c20c30a51bcd3eda7a23f,54.9133333,-114.9680556,"26,27-68-7-W5",Alberta,250000,1980-02-28,AB-Ministry of Culture and Status of Women
IAQFM,Agnes Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c89d0f1849c20c3188aca5dba2ecb40,55.8077778,-112.5244444,78-17-W4,Alberta,250000,1945-12-08,AB-Ministry of Culture and Status of Women
IASYF,Aguhway Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cae332e849c20c32b7f21fe7490ff83,56.9047222,-113.6280556,"21,22-91-23-W4",Alberta,50000,1991-10-17,AB-Ministry of Culture and Status of Women
IAQFQ,Aiguille Peak,und,Undetermined,,Peak,Terrain Feature,MTN,6effc09bba3411d892e2080020a0f4c9,51.8050000,-116.6680556,33-19-W5,Alberta,50000,1928-12-31,AB-Ministry of Culture and Status of Women
IAQFR,Airdrie,und,Undetermined,,City,Populated Place,CITY,6bbac775d05511d892e2080020a0f4c9,51.2922222,-114.0141667,12-27-1-W5,Alberta,7500000,1995-01-01,AB-Ministry of Culture and Status of Women
IAQFS,Akamina Lake,und,Undetermined,,Lake,Water Feature,LAKE,c66fc94ed05211d892e2080020a0f4c9,49.0238889,-114.0347222,11-1-1-W5,Alberta,50000,1972-04-27,AB-Ministry of Culture and Status of Women
IAQFT,Akamina Pass,und,Undetermined,,Pass,Terrain Feature,VALL,6f0ba77cba3411d892e2080020a0f4c9,49.0244445,-114.0544444,1-1-W4,Alberta,50000,1950-04-06,AB-Ministry of Culture and Status of Women
IAQFU,Akasu Hill,und,Undetermined,,Hill,Terrain Feature,MTN,0c89d179849c20c3df0bc3dcf442b4ec,53.4750000,-111.8416667,10-52-13-W4,Alberta,250000,1941-09-11,AB-Ministry of Culture and Status of Women
IAQFV,Akasu Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c89d1ff849c20c3ea5cc6ad2517cf21,53.5094444,-111.8230556,52-13-W4,Alberta,250000,1941-09-11,AB-Ministry of Culture and Status of Women
IAQFW,Akenside,und,Undetermined,,Locality,Populated Place,UNP,0c89d1ba849c20c3dfad579637f3a770,53.6022222,-113.2355556,25-53-23-W4,Alberta,250000,1974-12-31,AB-Ministry of Culture and Status of Women
IAQFX,Akuinu River,und,Undetermined,,River,Water Feature,RIV,6bc5c3f6d05511d892e2080020a0f4c9,54.9025000,-114.3605556,68-3-W5,Alberta,250000,1953-05-07,AB-Ministry of Culture and Status of Women
IAQFY,Alba Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c89d24b849c20c34066cc4d316571e4,52.7713889,-110.4347222,"6,7-44-3-W4",Alberta,250000,1951-04-05,AB-Ministry of Culture and Status of Women
IAQGE,Albert Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c89d335849c20c3705d732cc0e84012,53.1669444,-110.4500000,"48-3,4-W4",Alberta,250000,1940-05-21,AB-Ministry of Culture and Status of Women
IAQGG,Albert Park,und,Undetermined,,Locality,Populated Place,UNP,0c89d3b9849c20c3a397b1455861c5e5,51.0383333,-113.9988889,24-29-W4,Alberta,50000,1955-01-20,AB-Ministry of Culture and Status of Women
IAQFZ,Alberta,und,Undetermined,,Province,Administrative Area,PROV,b8ebf793bbe011d892e2080020a0f4c9,54.9916670,-114.3766670,,Alberta,30000000,1905-12-31,Act of Parliament
IAQGA,Alberta Beach,und,Undetermined,,Village,Populated Place,VILG,39311475c6ce11d892e2080020a0f4c9,53.6780555,-114.3511111,22-54-3-W5,Alberta,1000000,1999-01-01,AB-Ministry of Culture and Status of Women
IAQGD,Albertine Creek,und,Undetermined,,Creek,Water Feature,RIV,0c89d376849c20c3c57115ecbd2728bd,53.7994445,-119.0525000,55-8-W6,Alberta,250000,1953-03-05,AB-Ministry of Culture and Status of Women
IAQGJ,Albright,und,Undetermined,,Locality,Populated Place,UNP,0c89d3fa849c20c3b9cd7d4420a1ba19,55.2658333,-119.4972222,29-72-10-W6,Alberta,250000,1947-10-07,AB-Ministry of Culture and Status of Women
IAQGK,Albright Creek,und,Undetermined,,Creek,Water Feature,RIV,75bd1085ba3411d892e2080020a0f4c9,55.4869444,-120.0000000,75-13-W6,Alberta,250000,1983-03-31,AB-Ministry of Culture and Status of Women
IAQGL,Albright Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c89d43a849c20c362f22030d2c4a5a0,55.4894444,-119.8216667,75-12-W6,Alberta,250000,1947-10-07,AB-Ministry of Culture and Status of Women
IAQGM,Alcomdale,und,Undetermined,,Locality,Populated Place,UNP,29e7d01fc6ce11d892e2080020a0f4c9,53.8930556,-113.8380556,5-57-26-W4,Alberta,250000,1951-09-06,AB-Ministry of Culture and Status of Women
IAQGO,Alcove Mountain,und,Undetermined,,Mountain,Terrain Feature,MTN,0cffdc37849c20c36cd737b86b9a831f,52.6133333,-118.2311111,42-2-W6,Alberta,50000,1935-03-05,AB-Ministry of Culture and Status of Women
IAQGN,Alcurve,und,Undetermined,,Locality,Populated Place,UNP,0c89d47f849c20c36a6259d0d7842797,53.5119444,-110.0666667,27-52-1-W4,Alberta,250000,1940-05-21,AB-Ministry of Culture and Status of Women
IAQGP,Alder Flats,und,Undetermined,,Hamlet,Populated Place,UNP,0cffdc79849c20c384c78dbdb838e64f,52.9330556,-114.9569444,4-46-7-W5,Alberta,1000000,1950-05-04,AB-Ministry of Culture and Status of Women
IAQGQ,Alderson,und,Undetermined,,Locality,Populated Place,UNP,0c89d4c3849c20c34eef4fedadc343e0,50.2830555,-111.3452778,20-15-10-W4,Alberta,250000,1941-12-07,AB-Ministry of Culture and Status of Women
IABFL,Alderson Creek,und,Undetermined,,Creek,Water Feature,RIV,0c82bd1a849c20c3c940b93e7482d5fa,49.0447222,-113.9700000,1-30-W4,Alberta,50000,1943-05-19,AB-Ministry of Culture and Status of Women
IAQGR,Alderson Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c89d54f849c20c343ffa48745971017,49.0297222,-113.9761111,1-30-W4,Alberta,50000,1943-05-19,AB-Ministry of Culture and Status of Women
IAQGT,Aldersyde,und,Undetermined,,Hamlet,Populated Place,UNP,0c89d590849c20c3a578f954d7562766,50.6761111,-113.8788889,7-20-28-W4,Alberta,250000,1957-05-02,AB-Ministry of Culture and Status of Women
IAQGZ,Alex Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c89d656849c20c348bcb29a0c1661ed,56.1150000,-118.3425000,14-82-3-W6,Alberta,250000,1949-04-07,AB-Ministry of Culture and Status of Women
IATLN,Alexander,und,Undetermined,,Post Office,Populated Place,UNP,9988a77ec6cb11d892e2080020a0f4c9,53.8033333,-113.9186111,,Alberta,50000,1998-09-09,AB-Ministry of Culture and Status of Women
IBANE,Alexander,und,Undetermined,,First Nation Administrative Location,Administrative Area,MUN2,cc64a2c0009a4695b5a2ef90dff75cd3,53.8038589,-113.9205546,,Alberta,50000,2023-09-14,Indigenous Services Canada
IAUBO,Alexander 134,und,Undetermined,,Indian Reserve,Administrative Area,IR,0118eaf0bbe311d892e2080020a0f4c9,53.8113889,-113.9602778,4-56-27-W4,Alberta,50000,1972-06-01,Indigenous Services Canada
IZAAH,Alexander 134a,und,Undetermined,,Indian Reserve,Administrative Area,IR,11a6b67bffb311dda89a080020a0f4c9,54.2861500,-116.4500920,,Alberta,50000,2011-08-10,Indigenous Services Canada
IZAAI,Alexander 134b,und,Undetermined,,Indian Reserve,Administrative Area,IR,1a8ed56dffb311dda89a080020a0f4c9,54.3420082,-114.8120155,,Alberta,50000,2003-11-27,Indigenous Services Canada
IAQMZ,Alexander Gate,und,Undetermined,,Gate,Constructed Feature,ROAD,89fc65cac6cb11d892e2080020a0f4c9,52.6975000,-111.0927778,15-43-7-W4,Alberta,50000,1981-08-10,AB-Ministry of Culture and Status of Women
IAQGU,Alexander Island,und,Undetermined,,Island,Terrain Feature,ISL,0cffdcbb849c20c305455818e9d2911c,57.1472223,-111.6141667,"94-10,11-W4",Alberta,250000,1950-06-02,AB-Ministry of Culture and Status of Women
IAQGV,Alexander Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c89d616849c20c356679238b1ce06a0,59.6236111,-110.4802778,"122,123-3,4-W4",Alberta,250000,1929-06-30,AB-Ministry of Culture and Status of Women
IAQGW,Alexandra Glaciers,und,Undetermined,,Glaciers,Ice and Snow Feature,GLAC,0c89d5d4849c20c334820fbe91632b6c,51.9852778,-117.1483333,"35-22,23-W5",Alberta,250000,1964-07-06,AB-Ministry of Culture and Status of Women
IABFM,Alexandra River,und,Undetermined,,River,Water Feature,RIV,0c82bcd7849c20c3aedbdc43f91a1c15,52.0677778,-116.9297222,36-21-W5,Alberta,250000,1924-03-31,AB-Ministry of Culture and Status of Women
IATYW,Alexis,und,Undetermined,,Locality,Populated Place,UNP,a51be956c6cb11d892e2080020a0f4c9,53.7488889,-114.4863889,11-55-4-W5,Alberta,50000,2001-04-06,AB-Ministry of Culture and Status of Women
IAUBP,Alexis 133,und,Undetermined,,Indian Reserve,Administrative Area,IR,01267f81bbe311d892e2080020a0f4c9,53.7333334,-114.4833333,10-55-4-W5,Alberta,50000,1997-07-03,Indigenous Services Canada
IAUFN,Alexis Cardinal River 234,und,Undetermined,,Indian Reserve,Administrative Area,IR,0890b066bbe311d892e2080020a0f4c9,52.8541667,-116.9722222,"44,45-21,22-W5",Alberta,50000,1997-07-03,Indigenous Services Canada
IAUFM,Alexis Elk River 233,und,Undetermined,,Indian Reserve,Administrative Area,IR,0886c555bbe311d892e2080020a0f4c9,52.9236111,-116.5494444,"45, 46-18-W5",Alberta,50000,1997-07-03,Indigenous Services Canada
IBANL,Alexis Nakota Sioux Nation,und,Undetermined,,First Nation Administrative Location,Administrative Area,MUN2,5c51d5642a51432584d05c9b83a2a4a6,53.7288600,-114.4870373,,Alberta,50000,2023-09-14,Indigenous Services Canada
IAUBC,Alexis Whitecourt 232,und,Undetermined,,Indian Reserve,Administrative Area,IR,ffe9e0c4bbe211d892e2080020a0f4c9,54.2250000,-115.8169000,"60,61-12,13-W5",Alberta,50000,1997-07-03,Indigenous Services Canada
IABFG,Alexo,und,Undetermined,,Locality,Populated Place,UNP,0cff709b849c20c34668ad309d4e2fcb,52.4752778,-115.7830556,27-40-13-W5,Alberta,50000,1955-01-20,AB-Ministry of Culture and Status of Women
IABFH,Alford Creek,und,Undetermined,,Creek,Water Feature,RIV,0c82bc52849c20c39799e97bc5c9a214,52.0847222,-114.8805556,13-36-7-W5,Alberta,250000,1950-12-22,AB-Ministry of Culture and Status of Women
IABFI,Alford Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c82bc10849c20c3002135bf104dd762,52.0633333,-115.0930556,4-36-8-W5,Alberta,50000,1976-03-12,AB-Ministry of Culture and Status of Women
IABFJ,Alfred Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c82bc96849c20c312c30bb28b8d995f,51.4733333,-115.9363889,29-14-W5,Alberta,50000,1965-03-11,AB-Ministry of Culture and Status of Women
IAECW,Algar Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c841c08849c20c348a6e1925f4a1635,56.3116667,-112.2922222,84-15-W4,Alberta,250000,1944-10-12,AB-Ministry of Culture and Status of Women
IAECX,Algar River,und,Undetermined,,River,Water Feature,RIV,0c841cd1849c20c32d371000a4c771ba,56.5486111,-112.1941667,17-87-14-W4,Alberta,250000,1944-10-12,AB-Ministry of Culture and Status of Women
IABFN,Alhambra,und,Undetermined,,Hamlet,Populated Place,UNP,0cff70dd849c20c30eb5f885e7bdca06,52.3430556,-114.6725000,9-39-5-W5,Alberta,250000,1951-07-05,AB-Ministry of Culture and Status of Women
IABFO,Alice Creek,und,Undetermined,,Creek,Water Feature,RIV,0c82bd5c849c20c374b019de132b1a08,58.2980556,-113.2086111,107-20-W4,Alberta,1000000,1944-07-12,AB-Ministry of Culture and Status of Women
IABFQ,Alice Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c82bd9d849c20c3e6b64241702946e1,53.2372223,-111.5591667,49-11-W4,Alberta,1000000,1941-09-11,AB-Ministry of Culture and Status of Women
IABFR,Alix,und,Undetermined,,Village,Populated Place,VILG,7f1bb827d05511d892e2080020a0f4c9,52.3999999,-113.1797221,36-39-23-W4,Alberta,1000000,1995-01-01,AB-Ministry of Culture and Status of Women
IABFS,Alix Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c82be34849c20c3e94258107392d8f2,52.3941667,-113.1969444,35-39-23-W4,Alberta,250000,1951-01-17,AB-Ministry of Culture and Status of Women
IABFT,Alix South Junction,und,Undetermined,,Locality,Populated Place,UNP,0c82beb7849c20c30ac70aea4015c3c4,52.3700000,-113.2100000,22-39-23-W4,Alberta,250000,1955-11-03,AB-Ministry of Culture and Status of Women
IABFU,Alkali Creek,und,Undetermined,,Creek,Water Feature,RIV,0c82be76849c20c3ded42693103cbd1c,50.8638889,-110.4966667,22-4-W4,Alberta,1000000,1941-07-12,AB-Ministry of Culture and Status of Women
IABFW,Alkali Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c82bef9849c20c3897d3948a1cf4c25,53.5486111,-111.7666667,"53-12,13-W4",Alberta,250000,1941-09-11,AB-Ministry of Culture and Status of Women
IABFV,Alkali Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c82bf3a849c20c32f18104fd2a4d4c2,51.0194444,-112.1719444,24-16-W4,Alberta,250000,1955-01-20,AB-Ministry of Culture and Status of Women
IABFY,Allan Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c82bf7b849c20c3c2be84860ddb075d,54.9386111,-116.0619444,69-14-W5,Alberta,250000,1956-11-02,AB-Ministry of Culture and Status of Women
IABGB,Allan River,und,Undetermined,,River,Water Feature,RIV,0c82c03f849c20c3e08f10ac5a3d059a,54.9069445,-114.7750000,68-6-W5,Alberta,250000,1945-12-08,AB-Ministry of Culture and Status of Women
IABGC,Allday Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c82bffd849c20c3176721bb04120a7b,54.1855556,-111.4530556,16-60-10-W4,Alberta,250000,1950-07-06,AB-Ministry of Culture and Status of Women
IABGD,Alleman Creek,und,Undetermined,,Creek,Water Feature,RIV,0c82c0c3849c20c30850a597bd922aad,57.0366666,-118.6041667,93-4-W6,Alberta,250000,1972-04-12,AB-Ministry of Culture and Status of Women
IAQMM,Allen Bill Pond,und,Undetermined,,Pond,Water Feature,LAKE,0c89ebaf849c20c35701279a38cb3d76,50.9011111,-114.6863889,30-22-5-W5,Alberta,50000,1983-02-07,AB-Ministry of Culture and Status of Women
IABGH,Allen Creek,und,Undetermined,,Creek,Water Feature,RIV,0c82c148849c20c3b5a4eec0f6e782e7,53.8966666,-119.0652778,57-8-W6,Alberta,50000,1953-03-05,AB-Ministry of Culture and Status of Women
IABGE,Allenby Creek,und,Undetermined,,Creek,Water Feature,RIV,0c82c081849c20c301f82374e35e90fb,50.9205556,-115.5583333,22-12-W5,Alberta,50000,1957-05-02,AB-Ministry of Culture and Status of Women
IABGG,Allenby Pass,und,Undetermined,,Pass,Terrain Feature,VALL,0cff711e849c20c386a4a2580a574d13,50.9647222,-115.5694444,23-12-W5,Alberta,50000,1960-03-03,AB-Ministry of Culture and Status of Women
IABGK,Alliance,und,Undetermined,,Village,Populated Place,VILG,7f26b4a8d05511d892e2080020a0f4c9,52.4344445,-111.7852778,15-40-13-W4,Alberta,1000000,1995-01-01,AB-Ministry of Culture and Status of Women
IABGL,Allingham,und,Undetermined,,Locality,Populated Place,UNP,0c82c1c9849c20c34b8b6fcdb3ee7e01,51.7027778,-113.5952778,34-31-26-W4,Alberta,250000,1955-01-20,AB-Ministry of Culture and Status of Women
IAUEV,Allison Bay 219,und,Undetermined,,Indian Reserve,Administrative Area,IR,0766d754bbe311d892e2080020a0f4c9,58.7744445,-111.0366667,112-6-W4,Alberta,50000,1990-01-25,Indigenous Services Canada
IABGM,Allison Creek,und,Undetermined,,Creek,Water Feature,RIV,0c82c189849c20c3beda0809381d6c6f,49.6250000,-114.5897222,2-8-5-W5,Alberta,250000,1924-03-31,AB-Ministry of Culture and Status of Women
IABGN,Allison Peak,und,Undetermined,,Peak,Terrain Feature,MTN,585ff9aaba3411d892e2080020a0f4c9,49.7433333,-114.6463889,9-5-W5,Alberta,250000,1938-05-20,AB-Ministry of Culture and Status of Women
IABGO,Allsmoke Mountain,und,Undetermined,,Mountain,Terrain Feature,MTN,0c82c20c849c20c36718a1b1325dbd12,50.7438889,-114.6894444,31-20-5-W5,Alberta,50000,1941-12-17,AB-Ministry of Culture and Status of Women
IABGP,Allstones Creek,und,Undetermined,,Creek,Water Feature,RIV,0c82c28e849c20c3bcb928d4c8e479bb,52.2902778,-116.3747222,38-17-W5,Alberta,50000,1933-02-15,AB-Ministry of Culture and Status of Women
IARAP,Allstones Lake,und,Undetermined,,Lake,Water Feature,LAKE,0cffe866849c20c32221fa1418f2a1e1,52.3025000,-116.4186111,30-38-17-W5,Alberta,50000,1986-07-28,AB-Ministry of Culture and Status of Women
IABGQ,Alma Creek,und,Undetermined,,Creek,Water Feature,RIV,0c82c24e849c20c390fe60fe915f6d7d,53.7536111,-110.4416667,18-55-3-W4,Alberta,50000,1940-05-21,AB-Ministry of Culture and Status of Women
IABGR,Alma Lake,und,Undetermined,,Lake,Water Feature,LAKE,0c82c30f849c20c33bc38ecc30e68459,53.7808334,-110.3966667,55-3-W4,Alberta,250000,1940-05-21,AB-Ministry of Culture and Status of Women
IABGS,Alness,und,Undetermined,,Locality,Populated Place,UNP,0c82c2cf849c20c34b049f85497b12ab,51.6541667,-111.7313889,13-31-13-W4,Alberta,50000,1951-11-01,AB-Ministry of Culture and Status of Women
IABGU,Alnus Peak,und,Undetermined,,Peak,Terrain Feature,MTN,803fa50aba3411d892e2080020a0f4c9,52.4875000,-118.0069444,40-1-W5,Alberta,50000,1935-03-05,AB-Ministry of Culture and Status of Women
